Molecule,Force,Ave_BondLength,Ave_CosbondLength,Ave_MayerBonds,ReactionRingAtoms,BrokenInRatio,BondType,Ave_MullikenCharge1,Ave_MullikenCharge2,MinLength,MaxLength,Elec_reac_max_mean,Elec_reac_min_mean,Nuc_reac_max_mean,Nuc_reac_min_mean
702-,3.1,1.47237226,1.1542,0.90475214,15,0.26666667,1,-0.305454,0.234047,16.6141439,33.2282877,0.0364,0.00548,0.05255,0.01994
719-2,3,1.58670013,1.5835,1.0011474,4,0.25,0,-0.234332,-0.062867,4.53826646,10.5892884,0.00794,0.00669,0.09696,0.09291
719-3,2.7,1.59434078,1.5943,0.96670712,4,0.25,0,-0.239152,-0.238652,4.54184036,7.56973393,0.00874,0.00873,0.12441,0.12438
74-,4.9,1.44084818,1.0846,0.95150855,19,0.36842105,1,-0.288455,0.216803,19.5528491,28.577241,0.03954,0.00464,0.0242,0.00528
743-2,6.1,1.42314899,1.0037,0.97615183,17,0.41176471,1,-0.282412,0.200818,19.7970131,28.934096,0.02361,0.00246,0.01522,0.00858
75-,3.1,1.44322904,1.1337,0.95861118,15,0.26666667,1,-0.295777,0.255414,18.0796211,34.6526071,0.03703,0.00507,0.02228,0.01172
771-2,4,1.46614979,1.1759,0.92921112,19,0.31578947,1,-0.308014,0.242019,21.1470666,37.7626189,0.03004,0.008,0.08542,0.01995
776-,3.8,1.45819253,1.1557,0.93911538,19,0.2631579,1,-0.311122,0.235994,19.6606657,45.370767,0.02623,0.0067,0.11688,0.01685
777-,3.4,1.43564785,1.0288,0.93799042,19,0.2631579,1,-0.278551,0.091807,19.6515743,45.3497868,0.02799,0.00637,0.0712,0.01767
778-,3.6,1.46072572,1.1554,0.93436984,19,0.2631579,1,-0.311395,0.229435,19.6513559,45.3492829,0.03048,0.00763,0.1106,0.01709
786-2,3.2,1.47416251,1.1862,0.92531397,11,0.27272727,1,-0.291451,0.256147,24.1648795,40.7782342,0.04392,0.01013,0.02556,0.0177
787-2,2.8,1.47263589,1.1824,0.9300846,11,0.27272727,1,-0.290909,0.257326,25.6764666,43.8010313,0.04973,0.01139,0.02129,0.01765
787-3,3.4,1.47233353,1.0868,0.92839461,11,0.27272727,1,-0.290248,0.25464,27.1978909,42.3078303,0.05005,0.01144,0.02783,0.01764
79-2,3.9,1.46031661,1.1711,0.93501366,15,0.26666667,1,-0.315708,0.238168,18.1319804,34.7529624,0.01487,0.00569,0.13451,0.02157
806-2,2.8,1.44706281,1.1263,0.8898278,15,0.26666667,1,-0.299774,0.24912,55.8863922,75.5221517,0.02848,0.00308,0.01753,0.00994
813-2,5.5,1.45214468,1.0674,0.96628843,15,0.33333333,1,-0.299664,0.190394,30.2220428,49.8663707,0.01718,0.0062,0.02253,0.01255
814-2,5.9,1.42433617,1.0939,1.00956368,15,0.33333333,1,-0.296819,0.225794,24.1834601,48.3669202,0.01631,0.00555,0.01784,0.01668
815-2,5.4,1.4516992,1.0661,0.9665346,15,0.33333333,1,-0.299518,0.189547,28.7141521,49.8719483,0.01728,0.0063,0.02329,0.01319
816-2,5.5,1.42918591,1.0751,0.99726261,15,0.33333333,1,-0.294824,0.228168,27.2038542,51.3850579,0.01967,0.0072,0.02042,0.01406
822-2,3,1.43321576,1.1354,0.95709745,15,0.26666667,1,-0.295708,0.199037,42.3247717,64.9987565,0.01614,0.00083,0.01557,-0.00118
823-2,2.3,1.44679677,1.1318,0.93023965,15,0.26666667,1,-0.294049,0.221808,25.5897279,45.1583434,0.0293,0.00305,0.02236,0.00494
