Molecule,Atom 1,Atom 2,Bond Length,Elecneg_1,Ele_1,Elecneg_2,Ele_2,InConj_1,InConj_2,InRing_1,InRing_2,Neighbour1,Neighbour2
10,36,42,1.3599046,2.55,0,3.04,2,0,0,0,0,3,2
10,4,20,1.359081917,2.55,0,3.44,1,1,0,6,0,3,2
10,38,43,1.358649014,2.55,0,3.04,2,0,0,0,0,3,2
10,17,21,1.357556281,2.55,0,3.44,1,1,0,6,0,3,2
10,38,41,1.230055674,2.55,0,3.44,1,0,0,0,0,3,1
10,36,40,1.224237524,2.55,0,3.44,1,0,0,0,0,3,1
11,0,2,1.573837584,2.55,0,2.55,0,0,0,4,4,3,3
11,2,3,1.570570943,2.55,0,2.55,0,0,0,4,4,3,3
11,1,3,1.566314738,2.55,0,2.55,0,0,0,4,4,3,3
11,0,1,1.559652776,2.55,0,2.55,0,0,0,4,4,3,3
11,36,39,1.52719471,2.55,0,2.55,0,0,0,3,3,3,3
11,36,42,1.50884858,2.55,0,2.55,0,0,0,3,3,3,4
11,39,42,1.501666157,2.55,0,2.55,0,0,0,3,3,3,4
11,7,33,1.549025664,2.55,0,2.55,0,0,0,7,7,2,2
11,5,30,1.548261004,2.55,0,2.55,0,0,0,7,7,2,2
11,2,5,1.534997563,2.55,0,2.55,0,0,0,4,7,3,2
11,3,7,1.527664881,2.55,0,2.55,0,0,0,4,7,3,2
11,16,17,1.52164333,2.55,0,2.55,0,0,0,0,0,2,1
11,1,10,1.520998843,2.55,0,2.55,0,0,0,4,0,3,3
11,0,4,1.520557318,2.55,0,2.55,0,0,0,4,0,3,3
11,23,24,1.52037695,2.55,0,2.55,0,0,0,0,0,2,1
11,30,36,1.518839538,2.55,0,2.55,0,0,0,7,3,2,3
11,33,39,1.515964186,2.55,0,2.55,0,0,0,7,3,2,3
11,15,23,1.440301994,3.44,1,2.55,0,0,0,0,0,2,2
11,13,16,1.431913314,3.44,1,2.55,0,0,0,0,0,2,2
11,4,13,1.354385495,2.55,0,3.44,1,0,0,0,0,3,2
11,10,15,1.341306591,2.55,0,3.44,1,0,0,0,0,3,2
11,10,14,1.211182751,2.55,0,3.44,1,0,0,0,0,3,1
11,4,12,1.203689251,2.55,0,3.44,1,0,0,0,0,3,1
12,0,2,1.585160608,2.55,0,2.55,0,0,0,4,4,3,3
12,1,3,1.585156032,2.55,0,2.55,0,0,0,4,4,3,3
12,2,3,1.55085664,2.55,0,2.55,0,0,0,4,4,3,3
12,0,1,1.550789143,2.55,0,2.55,0,0,0,4,4,3,3
12,22,23,1.407565793,2.55,0,2.55,0,1,1,6,6,3,2
12,34,35,1.407560969,2.55,0,2.55,0,1,1,6,6,3,2
12,22,31,1.405802851,2.55,0,2.55,0,1,1,6,6,3,2
12,34,43,1.405802643,2.55,0,2.55,0,1,1,6,6,3,2
12,37,39,1.398818589,2.55,0,2.55,0,1,1,6,6,2,2
12,25,27,1.398818582,2.55,0,2.55,0,1,1,6,6,2,2
12,29,31,1.398159931,2.55,0,2.55,0,1,1,6,6,2,2
12,41,43,1.398157126,2.55,0,2.55,0,1,1,6,6,2,2
12,39,41,1.397597402,2.55,0,2.55,0,1,1,6,6,2,2
12,27,29,1.3975925,2.55,0,2.55,0,1,1,6,6,2,2
12,35,37,1.397558667,2.55,0,2.55,0,1,1,6,6,2,2
12,23,25,1.397556871,2.55,0,2.55,0,1,1,6,6,2,2
12,3,4,1.526542097,2.55,0,2.55,0,0,0,4,0,3,3
12,0,13,1.526539205,2.55,0,2.55,0,0,0,4,0,3,3
12,1,34,1.509776851,2.55,0,2.55,0,0,1,4,6,3,3
12,2,22,1.509776196,2.55,0,2.55,0,0,1,4,6,3,3
12,7,8,1.448232604,3.04,2,2.55,0,0,0,0,0,2,1
12,16,17,1.448226962,3.04,2,2.55,0,0,0,0,0,2,1
12,13,16,1.363580624,2.55,0,3.04,2,0,0,0,0,3,2
12,4,7,1.363574261,2.55,0,3.04,2,0,0,0,0,3,2
12,4,6,1.22400008,2.55,0,3.44,1,0,0,0,0,3,1
12,13,15,1.223988612,2.55,0,3.44,1,0,0,0,0,3,1
13,1,3,1.579097738,2.55,0,2.55,0,0,0,4,4,3,3
13,0,2,1.578931919,2.55,0,2.55,0,0,0,4,4,3,3
13,0,1,1.551169991,2.55,0,2.55,0,0,0,4,4,3,3
13,2,3,1.551149983,2.55,0,2.55,0,0,0,4,4,3,3
13,3,10,1.50903283,2.55,0,2.55,0,0,0,4,6,3,3
13,0,4,1.508973944,2.55,0,2.55,0,0,0,4,6,3,3
13,1,8,1.505011768,2.55,0,2.55,0,0,1,4,6,3,3
13,2,12,1.505001916,2.55,0,2.55,0,0,1,4,6,3,3
13,8,21,1.408943103,2.55,0,2.55,0,1,1,6,6,3,2
13,12,25,1.40893122,2.55,0,2.55,0,1,1,6,6,3,2
13,26,27,1.408666922,2.55,0,2.55,0,1,1,6,6,2,3
13,19,20,1.408628101,2.55,0,2.55,0,1,1,6,6,3,2
13,7,18,1.400314108,2.55,0,2.55,0,1,1,6,6,3,2
13,14,28,1.400279517,2.55,0,2.55,0,1,1,6,6,3,2
13,18,19,1.399557355,2.55,0,2.55,0,1,1,6,6,2,3
13,27,28,1.399526012,2.55,0,2.55,0,1,1,6,6,3,2
13,7,8,1.39863104,2.55,0,2.55,0,1,1,6,6,3,3
13,12,14,1.398630431,2.55,0,2.55,0,1,1,6,6,3,3
13,25,26,1.387833585,2.55,0,2.55,0,1,1,6,6,2,2
13,20,21,1.387812501,2.55,0,2.55,0,1,1,6,6,2,2
13,6,7,1.384317078,3.44,1,2.55,0,0,1,6,6,2,3
13,14,15,1.384242052,2.55,0,3.44,1,1,0,6,6,3,2
13,4,6,1.360545524,2.55,0,3.44,1,0,0,6,6,3,2
13,10,15,1.360534519,2.55,0,3.44,1,0,0,6,6,3,2
13,33,38,1.411481221,3.44,1,2.55,0,0,0,0,0,2,1
13,32,34,1.411399562,3.44,1,2.55,0,0,0,0,0,2,1
13,19,32,1.353666904,2.55,0,3.44,1,1,0,6,0,3,2
13,27,33,1.353654649,2.55,0,3.44,1,1,0,6,0,3,2
13,10,17,1.201228799,2.55,0,3.44,1,0,0,6,0,3,1
13,4,16,1.201180534,2.55,0,3.44,1,0,0,6,0,3,1
14,1,2,1.582576571,2.55,0,2.55,0,0,0,4,4,3,3
14,0,3,1.552719157,2.55,0,2.55,0,0,0,4,4,3,3
14,0,1,1.550167756,2.55,0,2.55,0,0,0,4,4,3,3
14,2,3,1.550004281,2.55,0,2.55,0,0,0,4,4,3,3
14,0,4,1.520046304,2.55,0,2.55,0,0,0,4,6,3,3
14,3,8,1.519941433,2.55,0,2.55,0,0,0,4,6,3,3
14,1,7,1.494008688,2.55,0,2.55,0,0,1,4,6,3,3
14,2,9,1.493849928,2.55,0,2.55,0,0,1,4,6,3,3
14,15,16,1.408872524,2.55,0,2.55,0,1,1,6,6,3,2
14,22,23,1.408863086,2.55,0,2.55,0,1,1,6,6,2,3
14,7,17,1.406271348,2.55,0,2.55,0,1,1,6,6,3,2
14,9,21,1.406254232,2.55,0,2.55,0,1,1,6,6,3,2
14,14,15,1.401214763,2.55,0,2.55,0,1,1,6,6,2,3
14,23,24,1.401177785,2.55,0,2.55,0,1,1,6,6,3,2
